id;colonia;municipio_id;codigo_postal_id
61806;San Pedro Atoyac;1175;19178
61807;San Miguel Carrizal;1175;19179
61808;San Miguel Tiuxi;1175;19180
61809;Santa Cruz Tacache de Mina;1176;19181
61810;Tacache de Mina;1176;19181
61811;San Jose La Pradera;1176;19182
61812;San Simón Zahuatlán;1177;19183
61813;San Marcos Arteaga;1178;19184
61814;Guadalupe Morelos;1179;19185
61815;San Jorge Nuchita;1179;19185
61816;San Miguel Allende;1179;19186
61817;Santos Reyes Yucuna;1180;19187
61818;San Andres Sabinillo;1181;19188
61819;Santo Domingo Tonala;1181;19188
61820;San Juan Reyes;1181;19188
61821;Natividad;1181;19188
61822;Santa Catarina;1181;19189
61823;San Sebastián Del Monte;1181;19190
61824;Yetla de Juárez;1181;19191
61825;Santo Domingo Yodohino;1182;19192
61826;Coixtlahuaca;1183;19193
61827;San Juan Bautista Coixtlahuaca;1183;19193
61828;Rio Blanco;1183;19193
61829;Rio Poblano;1183;19194
61830;San Jerónimo Otla;1183;19195
61831;Santa Catarina Ocotlan;1183;19196
61832;La Estancia;1183;19197
61833;Tepelmeme Villa de Morelos;1184;19198
61834;Puerto Mixteco;1184;19199
61835;La Unión;1184;19200
61836;Concepción Buenavista;1185;19201
61837;San Miguel Astatla;1185;19202
61838;Santa Cruz Corunda;1185;19202
61839;Río de las Palmas;1185;19203
61840;El Enebro;1185;19204
61841;Ihuitlan Plumas;1186;19205
61842;San Antonio Abad;1186;19206
61843;Tlacotepec Plumas;1187;19207
61844;San Francisco Teopan;1188;19208
61845;Santa Magdalena Jicotlan;1189;19209
61846;San Mateo Tlapiltepec;1190;19210
61847;San Miguel Tequixtepec;1191;19211
61848;Santa Cruz Capulalpan;1191;19212
61849;Palo Solo;1191;19213
61850;San Miguel Tulancingo;1192;19214
61851;Tulancingo;1192;19214
61852;Santiago Tepetlapa;1193;19215
61853;San Cristóbal Suchixtlahuaca;1194;19216
61854;Suchixtlahuaca;1194;19216
61855;Santa Maria Nativitas;1195;19217
61856;San Pedro Buenavista;1195;19218
61857;Silacayoapam;1196;19219
61858;San Martin Del Estado;1196;19220
61859;Alfaro;1196;19221
61860;San Juan Huaxtepec;1196;19221
61861;Petlanala;1196;19222
61862;Santiago Petlanala;1196;19222
61863;Michiapa;1196;19223
61864;Los Reyes Michiapa;1196;19223
61865;San Andres Montaña;1196;19224
61866;San Sebastián Zoquiapan;1196;19225
61867;San Jerónimo Progreso;1196;19226
61868;San Miguel Aguacates;1196;19227
61869;San Vicente El Zapote;1196;19228
61870;Santiago Asunción;1196;19229
61871;San Juan Trujano;1196;19230
61872;Del Carmen;1196;19230
61873;San Antonio;1196;19231
61874;Santiago Yucuyachi;1197;19232
61875;Santa Rosa de Juárez;1197;19233
61876;San Jerónimo Nuchita;1198;19234
61877;San Lorenzo Victoria;1198;19234
61878;San Agustin Atenango;1199;19235
61879;San Francisco Paxtlahuaca;1199;19236
61880;Calihuala;1200;19237
61881;San Jose Sabinillo;1200;19238
61882;Santa Cruz de Bravo;1201;19239
61883;Ixpantepec Nieves;1202;19240
