id;nombre;descripcion;activated;deleted;created_by;created_date;last_modified_by;last_modified_date
92;Eliminar skill;Eliminar skill;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
93;Consultar tipo de skill;Consultar tipo de skill;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
94;Editar tipo de skill;Editar tipo de skill;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
95;Agregar tipo de skill;Agregar tipo de skill;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
96;Eliminar tipo de skill;Eliminar tipo de skill;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
97;Consultar categpría skill;Consultar categpría skill;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
98;Editar categpría skill;Editar categpría skill;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
99;Agregar categpría skill;Agregar categpría skill;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
100;Eliminar categpría skill;Eliminar categpría skill;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
101;Consultar skill del candidato;Consultar skill del candidato;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
102;Editar skill del candidato;Editar skill del candidato;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
103;Agregar skill del candidato;Agregar skill del candidato;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
104;Eliminar skill del candidato;Eliminar skill del candidato;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
105;Consultar dominio de skill;Consultar dominio de skill;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
106;Editar dominio de skill;Editar dominio de skill;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
107;Agregar dominio de skill;Agregar dominio de skill;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
108;Eliminar dominio de skill;Eliminar dominio de skill;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
109;Consultar estatus del requerimiento del candidato;Consultar estatus del requerimiento del candidato;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
110;Editar estatus del requerimiento del candidato;Editar estatus del requerimiento del candidato;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
111;Agregar estatus del requerimiento del candidato;Agregar estatus del requerimiento del candidato;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
112;Eliminar estatus del requerimiento del candidato;Eliminar estatus del requerimiento del candidato;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
113;Consultar estatus del requerimiento del candidato reclutado;Consultar estatus del requerimiento del candidato reclutado;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
114;Editar estatus del requerimiento del candidato reclutado;Editar estatus del requerimiento del candidato reclutado;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
115;Agregar estatus del requerimiento del candidato reclutado;Agregar estatus del requerimiento del candidato reclutado;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
116;Eliminar estatus del requerimiento del candidato reclutado;Eliminar estatus del requerimiento del candidato reclutado;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
117;Consultar tarea;Consultar tarea;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
118;Editar tarea;Editar tarea;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
119;Agregar tarea;Agregar tarea;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
120;Eliminar tarea;Eliminar tarea;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
121;Consultar estatus tareas;Consultar estatus tareas;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
122;Editar estatus tareas;Editar estatus tareas;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
123;Agregar estatus tareas;Agregar estatus tareas;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
